year,month,u_rate,lab_rate,part_rate,age_group,sex,date,u_rate_sa,lab_rate_sa,part_rate_sa
1984,2,0.079417124,0.61957437,0.28444818,16-64,f,1984-02-12,0.0768609514248788,0.626784607597166,0.27682775375321
1984,2,0.11411765,0.686037,0.30077448,20-24,f,1984-02-12,0.111607446425142,0.694483859260257,0.27770231319613
1984,2,0.059558071,0.82679963,0.14014876,35-39,t,1984-02-12,0.053889996810111,0.826696573061771,0.132407794095876
1984,2,0.12923093,0.75570029,0.26356605,20-24,t,1984-02-12,0.118738642737664,0.768308807877475,0.234594795770295
1984,2,0.084033728,0.69450796,0.21129744,25-29,f,1984-02-12,0.0794195256414392,0.696425371220202,0.205606280027058
1984,2,0.19047743,0.4703925,0.72308475,16-19,f,1984-02-12,0.186189847622248,0.514501869013871,0.675043737611988
1984,2,0.037768282,0.15639083,0.51612258,65+,t,1984-02-12,0.035926077429751,0.159135192619378,0.499618164574886
1984,2,0.051640913,0.54269636,0.18518572,55-64,t,1984-02-12,0.0460092978184602,0.549048252141345,0.18600359099294
1984,2,0.084760085,0.72786582,0.19079189,16-64,t,1984-02-12,0.0788658586665162,0.735360958635149,0.183305868355184
1984,2,0.055604391,0.82558167,0.13252088,40-44,t,1984-02-12,0.0497969632685078,0.827098307904996,0.127668190222347
1984,2,0.056211904,0.78792471,0.13041896,45-49,t,1984-02-12,0.0499930316403145,0.784266821463088,0.128912650070422
1984,2,0.032823116,0.2123792,0.45374107,65+,m,1984-02-12,0.0302802977787186,0.218113787380176,0.437485921647276
1984,2,0.20867907,0.48480964,0.68870538,16-19,t,1984-02-12,0.19281514987555,0.536767114660849,0.632840608921347
1984,2,0.094316803,0.81207639,0.14040716,25-29,t,1984-02-12,0.086611177590653,0.81538380309781,0.133449865271658
1984,2,0.05115537,0.73384392,0.12709063,50-54,t,1984-02-12,0.0452839336531788,0.734885250296222,0.123296819720054
1984,2,0.057119917,0.68538588,0.10687282,55-64,m,1984-02-12,0.049460148622968,0.693698057259308,0.105930262211218
1984,2,0.076242477,0.81701767,0.14247264,30-34,t,1984-02-12,0.0688136194834186,0.820945901381007,0.13851014954476
1984,2,0.04983601,0.58950186,0.23222139,50-54,f,1984-02-12,0.0465720040461918,0.590524639056399,0.223946426439752
1984,2,0.080178708,0.94594878,0.062799908,30-34,m,1984-02-12,0.0687509797135278,0.948979348627598,0.0595316015889404
1984,2,0.10220648,0.93329471,0.084915772,25-29,m,1984-02-12,0.0910522937696674,0.937787927885087,0.0785242578270766
1984,2,0.088899896,0.84187728,0.11747015,16-64,m,1984-02-12,0.0794997138691275,0.851022164142374,0.111418329981625
1984,2,0.052100871,0.89001614,0.051570199,50-54,m,1984-02-12,0.0468220792898028,0.890308937007995,0.0470428086902576
1984,2,0.055607371,0.93241638,0.045173578,45-49,m,1984-02-12,0.0479796445574634,0.93080950096,0.0458137782377108
1984,2,0.057844929,0.95329809,0.048255444,40-44,m,1984-02-12,0.0454903712496072,0.958164170343601,0.0450122379661062
1984,2,0.060249142,0.70273751,0.25914979,35-39,f,1984-02-12,0.0591271605611092,0.700959090535575,0.251952864775877
1984,2,0.057032067,0.65104824,0.24624579,45-49,f,1984-02-12,0.0528919494979317,0.647999431356179,0.244010530635647
1984,2,0.059026975,0.95658261,0.048814103,35-39,m,1984-02-12,0.0517404977266096,0.957616097645156,0.0438436169553042
1984,2,0.14229162,0.82839471,0.23035483,20-24,m,1984-02-12,0.122943286524062,0.847144113990815,0.198578078690985
1984,2,0.04485219,0.11352086,0.60660893,65+,f,1984-02-12,0.0458370555352895,0.115155863933438,0.588846392461382
1984,2,0.043744691,0.41744685,0.29646996,55-64,f,1984-02-12,0.0427917345927424,0.421193997200835,0.302466018463563
1984,2,0.22546668,0.49891299,0.65556449,16-19,m,1984-02-12,0.19852950687199,0.55800324753603,0.59102711897589
